题材,产业链环节,公司名称,股票代码,市场
数据中心,云与算力服务,奥飞数据,300738,深市
云计算,算力基础设施,金山云,03896,港股
云计算,算力基础设施,浪潮信息,000977,深市
云计算,云平台与中间件,用友网络,600588,沪市
云计算,云平台与中间件,广联达,002410,深市
云计算,企业云应用,金山云,03896,港股
云计算,企业云应用,浪潮信息,000977,深市
网络安全,密码与安全硬件,奇安信,688561,沪市
网络安全,密码与安全硬件,深信服,300454,深市
网络安全,安全平台与运营,启明星辰,002439,深市
网络安全,安全平台与运营,安恒信息,688023,沪市
网络安全,行业合规应用,奇安信,688561,沪市
网络安全,行业合规应用,深信服,300454,深市
工业软件,工业基础软件,中望软件,688083,沪市
工业软件,工业基础软件,宝信软件,600845,沪市
工业软件,生产管理平台,鼎捷数智,300378,深市
工业软件,生产管理平台,能科科技,603859,沪市
工业软件,制造企业应用,中望软件,688083,沪市
工业软件,制造企业应用,宝信软件,600845,沪市
消费电子,核心器件,立讯精密,002475,深市
消费电子,核心器件,歌尔股份,002241,深市
消费电子,精密制造组装,蓝思科技,300433,深市
消费电子,精密制造组装,鹏鼎控股,002938,深市
消费电子,品牌终端,立讯精密,002475,深市
消费电子,品牌终端,歌尔股份,002241,深市
智能眼镜,光学与芯片,歌尔股份,002241,深市
智能眼镜,光学与芯片,水晶光电,002273,深市
智能眼镜,整机设计制造,韦尔股份,603501,沪市
智能眼镜,整机设计制造,亿道信息,001314,深市
智能眼镜,AI交互应用,歌尔股份,002241,深市
智能眼镜,AI交互应用,水晶光电,002273,深市
存储芯片,晶圆与设备材料,兆易创新,603986,沪市
存储芯片,晶圆与设备材料,江波龙,301308,深市
存储芯片,存储芯片设计制造,佰维存储,688525,沪市
存储芯片,存储芯片设计制造,北京君正,300223,深市
存储芯片,模组与终端应用,兆易创新,603986,沪市
存储芯片,模组与终端应用,江波龙,301308,深市
先进封装,封装设备材料,长电科技,600584,沪市
先进封装,封装设备材料,通富微电,002156,深市
先进封装,Chiplet封装测试,华天科技,002185,深市
先进封装,Chiplet封装测试,甬矽电子,688362,沪市
先进封装,高性能计算应用,长电科技,600584,沪市
先进封装,高性能计算应用,通富微电,002156,深市
PCB,覆铜板与材料,沪电股份,002463,深市
PCB,覆铜板与材料,深南电路,002916,深市
PCB,高多层板制造,生益科技,600183,沪市
PCB,高多层板制造,胜宏科技,300476,深市
PCB,服务器与汽车应用,沪电股份,002463,深市
PCB,服务器与汽车应用,深南电路,002916,深市
被动元件,陶瓷与电极材料,三环集团,300408,深市
被动元件,陶瓷与电极材料,风华高科,000636,深市
被动元件,MLCC与电感制造,顺络电子,002138,深市
被动元件,MLCC与电感制造,洁美科技,002859,深市
被动元件,AI与汽车应用,三环集团,300408,深市
被动元件,AI与汽车应用,风华高科,000636,深市
光伏,硅料硅片,阳光电源,300274,深市
光伏,硅料硅片,隆基绿能,601012,沪市
光伏,电池组件,晶科能源,688223,沪市
光伏,电池组件,TCL中环,002129,深市
光伏,电站与逆变器,阳光电源,300274,深市
光伏,电站与逆变器,隆基绿能,601012,沪市
储能,电芯与材料,阳光电源,300274,深市
储能,电芯与材料,派能科技,688063,沪市
储能,PCS与系统集成,科华数据,002335,深市
储能,PCS与系统集成,盛弘股份,300693,深市
储能,电网与用户侧运营,阳光电源,300274,深市
储能,电网与用户侧运营,派能科技,688063,沪市
风电,叶片与核心零部件,金风科技,002202,深市
风电,叶片与核心零部件,明阳智能,601615,沪市
风电,风机整机制造,东方电缆,603606,沪市
风电,风机整机制造,日月股份,603218,沪市
风电,风场开发运营,金风科技,002202,深市
风电,风场开发运营,明阳智能,601615,沪市
核电,核级材料设备,中国核电,601985,沪市
核电,核级材料设备,中国广核,003816,深市
核电,核岛常规岛建设,东方电气,600875,沪市
核电,核岛常规岛建设,上海电气,601727,沪市
核电,核电站运营,中国核电,601985,沪市
核电,核电站运营,中国广核,003816,深市
氢能,制氢材料设备,亿华通,688339,沪市
氢能,制氢材料设备,雄韬股份,002733,深市
氢能,储运与加注,美锦能源,000723,深市
氢能,储运与加注,厚普股份,300471,深市
氢能,燃料电池应用,亿华通,688339,沪市
氢能,燃料电池应用,雄韬股份,002733,深市
电网设备,一次设备,国电南瑞,600406,沪市
电网设备,一次设备,许继电气,000400,深市
电网设备,二次设备与调度,平高电气,600312,沪市
电网设备,二次设备与调度,思源电气,002028,深市
电网设备,配网与用电服务,国电南瑞,600406,沪市
电网设备,配网与用电服务,许继电气,000400,深市
锂资源,盐湖与矿山,赣锋锂业,002460,深市
锂资源,盐湖与矿山,天齐锂业,002466,深市
锂资源,锂盐加工,盐湖股份,000792,深市
锂资源,锂盐加工,藏格矿业,000408,深市
锂资源,电池材料采购,赣锋锂业,002460,深市
锂资源,电池材料采购,天齐锂业,002466,深市
钠离子电池,钠电材料,宁德时代,300750,深市
钠离子电池,钠电材料,传艺科技,002866,深市
钠离子电池,钠电芯制造,华阳股份,600348,沪市
钠离子电池,钠电芯制造,维科技术,600152,沪市
钠离子电池,储能与两轮车,宁德时代,300750,深市
钠离子电池,储能与两轮车,传艺科技,002866,深市
锂电材料,正负极材料,恩捷股份,002812,深市
锂电材料,正负极材料,天赐材料,002709,深市
锂电材料,隔膜与电解液,贝特瑞,835185,北交所
锂电材料,隔膜与电解液,容百科技,688005,沪市
锂电材料,动力储能电芯,恩捷股份,002812,深市
锂电材料,动力储能电芯,天赐材料,002709,深市
新能源汽车,三电系统,比亚迪,002594,深市
新能源汽车,三电系统,理想汽车,02015,港股
新能源汽车,整车制造,赛力斯,601127,沪市
新能源汽车,整车制造,长城汽车,601633,沪市
新能源汽车,销售与充换电,比亚迪,002594,深市
新能源汽车,销售与充换电,理想汽车,02015,港股
汽车零部件,材料与精密件,拓普集团,601689,沪市
汽车零部件,材料与精密件,三花智控,002050,深市
汽车零部件,系统总成,德赛西威,002920,深市
汽车零部件,系统总成,华域汽车,600741,沪市
汽车零部件,整车配套与售后,拓普集团,601689,沪市
汽车零部件,整车配套与售后,三花智控,002050,深市
汽车热管理,阀泵换热器,三花智控,002050,深市
汽车热管理,阀泵换热器,银轮股份,002126,深市
汽车热管理,集成热管理系统,松芝股份,002454,深市
汽车热管理,集成热管理系统,中鼎股份,000887,深市
汽车热管理,新能源车型应用,三花智控,002050,深市
汽车热管理,新能源车型应用,银轮股份,002126,深市
机器人减速器,齿轮与轴承材料,绿的谐波,688017,沪市
机器人减速器,齿轮与轴承材料,双环传动,002472,深市
机器人减速器,精密减速器制造,中大力德,002896,深市
机器人减速器,精密减速器制造,秦川机床,000837,深市
机器人减速器,机器人关节应用,绿的谐波,688017,沪市
机器人减速器,机器人关节应用,双环传动,002472,深市
工业自动化,控制与驱动部件,汇川技术,300124,深市
工业自动化,控制与驱动部件,国电南瑞,600406,沪市
工业自动化,自动化装备集成,埃斯顿,002747,深市
工业自动化,自动化装备集成,雷赛智能,002979,深市
工业自动化,工厂升级应用,汇川技术,300124,深市
工业自动化,工厂升级应用,国电南瑞,600406,沪市
军工,军工材料元器件,中航沈飞,600760,沪市
军工,军工材料元器件,航发动力,600893,沪市
军工,主机与分系统,中航光电,002179,深市
军工,主机与分系统,洪都航空,600316,沪市
军工,训练保障与维修,中航沈飞,600760,沪市
军工,训练保障与维修,航发动力,600893,沪市
商业航天,卫星火箭部组件,中国卫星,600118,沪市
商业航天,卫星火箭部组件,上海瀚讯,300762,深市
商业航天,卫星火箭制造发射,航天宏图,688066,沪市
商业航天,卫星火箭制造发射,天银机电,300342,深市
商业航天,卫星互联网运营,中国卫星,600118,沪市
商业航天,卫星互联网运营,上海瀚讯,300762,深市
量子科技,量子核心器件,国盾量子,688027,沪市
量子科技,量子核心器件,神州信息,000555,深市
量子科技,量子计算通信系统,亨通光电,600487,沪市
量子科技,量子计算通信系统,光迅科技,002281,深市
量子科技,科研行业应用,国盾量子,688027,沪市
量子科技,科研行业应用,神州信息,000555,深市
脑机接口,电极与采集芯片,三博脑科,301293,深市
脑机接口,电极与采集芯片,创新医疗,002173,深市
脑机接口,解码与反馈系统,翔宇医疗,688626,沪市
脑机接口,解码与反馈系统,汤姆猫,300459,深市
脑机接口,医疗康复应用,三博脑科,301293,深市
脑机接口,医疗康复应用,创新医疗,002173,深市
创新药,药物发现平台,恒瑞医药,600276,沪市
创新药,药物发现平台,百济神州,688235,沪市
创新药,临床开发与注册,信达生物,01801,港股
创新药,临床开发与注册,复星医药,600196,沪市
创新药,商业化与出海,恒瑞医药,600276,沪市
创新药,商业化与出海,百济神州,688235,沪市
医疗器械,核心部件材料,迈瑞医疗,300760,深市
医疗器械,核心部件材料,联影医疗,688271,沪市
医疗器械,器械研发制造,微创医疗,00853,港股
医疗器械,器械研发制造,乐普医疗,300003,深市
医疗器械,医院临床应用,迈瑞医疗,300760,深市
医疗器械,医院临床应用,联影医疗,688271,沪市
CXO,早研与实验服务,药明康德,603259,沪市
CXO,早研与实验服务,康龙化成,300759,深市
CXO,临床与生产外包,凯莱英,002821,深市
CXO,临床与生产外包,昭衍新药,603127,沪市
CXO,药企研发需求,药明康德,603259,沪市
CXO,药企研发需求,康龙化成,300759,深市
中药,药材种植供应,片仔癀,600436,沪市
中药,药材种植供应,云南白药,000538,深市
中药,中成药研发制造,同仁堂,600085,沪市
中药,中成药研发制造,以岭药业,002603,深市
中药,院端与零售消费,片仔癀,600436,沪市
中药,院端与零售消费,云南白药,000538,深市
白酒,粮食包装供应,贵州茅台,600519,沪市
白酒,粮食包装供应,五粮液,000858,深市
白酒,酿造与品牌运营,泸州老窖,000568,深市
白酒,酿造与品牌运营,山西汾酒,600809,沪市
白酒,渠道与终端动销,贵州茅台,600519,沪市
白酒,渠道与终端动销,五粮液,000858,深市
食品饮料,农产品原料,伊利股份,600887,沪市
食品饮料,农产品原料,海天味业,603288,沪市
食品饮料,食品加工制造,双汇发展,000895,深市
食品饮料,食品加工制造,安井食品,603345,沪市
食品饮料,渠道消费终端,伊利股份,600887,沪市
食品饮料,渠道消费终端,海天味业,603288,沪市
家电,零部件供应,美的集团,000333,深市
家电,零部件供应,格力电器,000651,深市
家电,整机制造品牌,海尔智家,600690,沪市
家电,整机制造品牌,石头科技,688169,沪市
家电,零售与服务,美的集团,000333,深市
家电,零售与服务,格力电器,000651,深市
旅游酒店,目的地与交通资源,中国中免,601888,沪市
旅游酒店,目的地与交通资源,锦江酒店,600754,沪市
旅游酒店,酒店旅行服务,首旅酒店,600258,沪市
旅游酒店,酒店旅行服务,宋城演艺,300144,深市
旅游酒店,游客消费,中国中免,601888,沪市
旅游酒店,游客消费,锦江酒店,600754,沪市
教育,课程内容技术,科德教育,300192,深市
教育,课程内容技术,学大教育,000526,深市
教育,教学服务运营,中公教育,002607,深市
教育,教学服务运营,传智教育,003032,深市
教育,学习与就业需求,科德教育,300192,深市
教育,学习与就业需求,学大教育,000526,深市
传媒游戏,IP与内容创作,腾讯控股,00700,港股
传媒游戏,IP与内容创作,昆仑万维,300418,深市
传媒游戏,发行与平台运营,恺英网络,002517,深市
传媒游戏,发行与平台运营,芒果超媒,300413,深市
传媒游戏,用户付费与广告,腾讯控股,00700,港股
传媒游戏,用户付费与广告,昆仑万维,300418,深市
金融科技,数据与基础软件,同花顺,300033,深市
金融科技,数据与基础软件,东方财富,300059,深市
金融科技,交易与业务系统,恒生电子,600570,沪市
金融科技,交易与业务系统,指南针,300803,深市
金融科技,机构个人应用,同花顺,300033,深市
金融科技,机构个人应用,东方财富,300059,深市
证券,交易清算基础设施,中信证券,600030,沪市
证券,交易清算基础设施,华泰证券,601688,沪市
证券,券商综合服务,国泰海通,601211,沪市
证券,券商综合服务,东方证券,600958,沪市
证券,企业居民融资投资,中信证券,600030,沪市
证券,企业居民融资投资,华泰证券,601688,沪市
银行,资金与风控基础,招商银行,600036,沪市
银行,资金与风控基础,工商银行,601398,沪市
银行,信贷与金融服务,宁波银行,002142,深市
银行,信贷与金融服务,江苏银行,600919,沪市
银行,实体客户需求,招商银行,600036,沪市
银行,实体客户需求,工商银行,601398,沪市
保险,资本与精算系统,中国平安,601318,沪市
保险,资本与精算系统,中国太保,601601,沪市
保险,承保与资产管理,新华保险,601336,沪市
保险,承保与资产管理,中国人寿,601628,沪市
保险,客户保障需求,中国平安,601318,沪市
保险,客户保障需求,中国太保,601601,沪市
黄金,金矿勘探开采,紫金矿业,601899,沪市
黄金,金矿勘探开采,山东黄金,600547,沪市
黄金,冶炼精炼加工,中金黄金,600489,沪市
黄金,冶炼精炼加工,赤峰黄金,600988,沪市
黄金,投资消费需求,紫金矿业,601899,沪市
黄金,投资消费需求,山东黄金,600547,沪市
稀土,稀土矿与配额,北方稀土,600111,沪市
稀土,稀土矿与配额,中国稀土,000831,深市
稀土,分离与磁材制造,盛和资源,600392,沪市
稀土,分离与磁材制造,金力永磁,300748,深市
稀土,机器人新能源应用,北方稀土,600111,沪市
稀土,机器人新能源应用,中国稀土,000831,深市
铜铝,矿山与再生资源,紫金矿业,601899,沪市
铜铝,矿山与再生资源,洛阳钼业,603993,沪市
铜铝,冶炼加工材,云铝股份,000807,深市
铜铝,冶炼加工材,神火股份,000933,深市
铜铝,电网新能源应用,紫金矿业,601899,沪市
铜铝,电网新能源应用,洛阳钼业,603993,沪市
煤炭,煤矿资源开采,中国神华,601088,沪市
煤炭,煤矿资源开采,兖矿能源,600188,沪市
煤炭,洗选运输贸易,陕西煤业,601225,沪市
煤炭,洗选运输贸易,潞安环能,601699,沪市
煤炭,电力化工需求,中国神华,601088,沪市
煤炭,电力化工需求,兖矿能源,600188,沪市
石油石化,油气勘探开采,中国石油,601857,沪市
石油石化,油气勘探开采,中国石化,600028,沪市
石油石化,炼化与化工加工,荣盛石化,002493,深市
石油石化,炼化与化工加工,恒力石化,600346,沪市
石油石化,交通工业消费,中国石油,601857,沪市
石油石化,交通工业消费,中国石化,600028,沪市
化工新材料,基础原料单体,万华化学,600309,沪市
化工新材料,基础原料单体,雅克科技,002409,深市
化工新材料,高性能材料制造,巨化股份,600160,沪市
化工新材料,高性能材料制造,国瓷材料,300285,深市
化工新材料,高端制造验证,万华化学,600309,沪市
化工新材料,高端制造验证,雅克科技,002409,深市
工程机械,液压动力部件,三一重工,600031,沪市
工程机械,液压动力部件,徐工机械,000425,深市
工程机械,主机装备制造,中联重科,000157,深市
工程机械,主机装备制造,恒立液压,601100,沪市
工程机械,基建矿山应用,三一重工,600031,沪市
工程机械,基建矿山应用,徐工机械,000425,深市
建筑央企,建材装备供应,中国建筑,601668,沪市
建筑央企,建材装备供应,中国中铁,601390,沪市
建筑央企,工程承包建设,中国交建,601800,沪市
建筑央企,工程承包建设,中国铁建,601186,沪市
建筑央企,运营与资产盘活,中国建筑,601668,沪市
建筑央企,运营与资产盘活,中国中铁,601390,沪市
房地产,土地建材资金,保利发展,600048,沪市
房地产,土地建材资金,招商蛇口,001979,深市
房地产,开发建设交付,万科A,000002,深市
房地产,开发建设交付,滨江集团,002244,深市
房地产,住房商业需求,保利发展,600048,沪市
房地产,住房商业需求,招商蛇口,001979,深市
环保,环保设备材料,高能环境,603588,沪市
环保,环保设备材料,瀚蓝环境,600323,沪市
环保,工程建设运营,伟明环保,603568,沪市
环保,工程建设运营,碧水源,300070,深市
环保,政府企业付费,高能环境,603588,沪市
环保,政府企业付费,瀚蓝环境,600323,沪市
农业,种业饲料农资,牧原股份,002714,深市
农业,种业饲料农资,温氏股份,300498,深市
农业,种植养殖加工,隆平高科,000998,深市
农业,种植养殖加工,海大集团,002311,深市
农业,食品消费渠道,牧原股份,002714,深市
农业,食品消费渠道,温氏股份,300498,深市
宠物经济,宠物原料与动保,乖宝宠物,301498,深市
宠物经济,宠物原料与动保,中宠股份,002891,深市
宠物经济,食品用品制造,佩蒂股份,300673,深市
宠物经济,食品用品制造,瑞普生物,300119,深市
宠物经济,渠道医疗服务,乖宝宠物,301498,深市
宠物经济,渠道医疗服务,中宠股份,002891,深市
银发经济,适老产品设备,鱼跃医疗,002223,深市
银发经济,适老产品设备,华东医药,000963,深市
银发经济,养老医疗服务,汤臣倍健,300146,深市
银发经济,养老医疗服务,新华锦,600735,沪市
银发经济,老年消费支付,鱼跃医疗,002223,深市
银发经济,老年消费支付,华东医药,000963,深市
数据要素,数据采集治理,易华录,300212,深市
数据要素,数据采集治理,云赛智联,600602,沪市
数据要素,确权交易平台,浙数文化,600633,沪市
数据要素,确权交易平台,人民网,603000,沪市
数据要素,行业数据应用,易华录,300212,深市
数据要素,行业数据应用,云赛智联,600602,沪市
国产软件,操作系统数据库,中国软件,600536,沪市
国产软件,操作系统数据库,太极股份,002368,深市
国产软件,行业应用软件,金山办公,688111,沪市
国产软件,行业应用软件,诚迈科技,300598,深市
国产软件,信创采购服务,中国软件,600536,沪市
国产软件,信创采购服务,太极股份,002368,深市
卫星导航,芯片天线器件,北斗星通,002151,深市
卫星导航,芯片天线器件,华测导航,300627,深市
卫星导航,终端与位置平台,海格通信,002465,深市
卫星导航,终端与位置平台,合众思壮,002383,深市
卫星导航,车载测绘应用,北斗星通,002151,深市
卫星导航,车载测绘应用,华测导航,300627,深市
智能电网,输配电设备,国电南瑞,600406,沪市
智能电网,输配电设备,许继电气,000400,深市
智能电网,自动化调度平台,四方股份,601126,沪市
智能电网,自动化调度平台,东方电子,000682,深市
智能电网,源网荷储应用,国电南瑞,600406,沪市
智能电网,源网荷储应用,许继电气,000400,深市
半导体照明,芯片衬底材料,三安光电,600703,沪市
半导体照明,芯片衬底材料,兆驰股份,002429,深市
半导体照明,封装模组显示,利亚德,300296,深市
半导体照明,封装模组显示,聚灿光电,300708,深市
半导体照明,照明车载应用,三安光电,600703,沪市
半导体照明,照明车载应用,兆驰股份,002429,深市
显示面板,玻璃材料设备,京东方A,000725,深市
显示面板,玻璃材料设备,TCL科技,000100,深市
显示面板,LCD与OLED制造,深天马A,000050,深市
显示面板,LCD与OLED制造,彩虹股份,600707,沪市
显示面板,电视手机车载,京东方A,000725,深市
显示面板,电视手机车载,TCL科技,000100,深市
锂电回收,退役电池回收,格林美,002340,深市
锂电回收,退役电池回收,天奇股份,002009,深市
锂电回收,拆解再生材料,光华科技,002741,深市
锂电回收,拆解再生材料,浙富控股,002266,深市
锂电回收,材料闭环应用,格林美,002340,深市
锂电回收,材料闭环应用,天奇股份,002009,深市
数字营销,数据内容工具,蓝色光标,300058,深市
数字营销,数据内容工具,分众传媒,002027,深市
数字营销,投放运营平台,三人行,605168,沪市
数字营销,投放运营平台,引力传媒,603598,沪市
数字营销,品牌增长转化,蓝色光标,300058,深市
数字营销,品牌增长转化,分众传媒,002027,深市
机场航空,飞机航油保障,中国国航,601111,沪市
机场航空,飞机航油保障,南方航空,600029,沪市
机场航空,航空机场运营,上海机场,600009,沪市
机场航空,航空机场运营,白云机场,600004,沪市
机场航空,客流与商业消费,中国国航,601111,沪市
机场航空,客流与商业消费,南方航空,600029,沪市
